,mvs_ids,unq_ids,target,ext,visit,x_f814w,y_f814w,x_f850lp,y_f850lp,fitsroot_f814w,fitsroot_f850lp,exptime_f814w,exptime_f850lp,pav3_f814w,pav3_f850lp,rota_f814w,rota_f850lp,flag_f814w,flag_f850lp
0,0,0,J155150.21-213457.4,1,13,766.6820623176243,870.5199619410628,766.2978650132814,870.8632298567297,iexn13010,iexn13020,712.0,712.0,124.436996,124.436996,169.43830288961317,169.43830288935922,good_psf,good_psf
1,1,1,J164636.12-231337.6,1,01,769.100792657608,866.146098726742,768.8708912878399,866.4887916476777,iexn01010,iexn01020,712.0,712.0,97.360497,97.360497,142.36400850567114,142.3640085050004,good_psf,good_psf
2,2,2,J155416.68-263018.1,1,02,762.4151674138435,869.7983029656978,762.2131419954059,870.1803844243722,iexn02010,iexn02020,716.0,716.0,98.681168,98.681168,143.68514694218692,143.68514694144352,good_psf,good_psf
3,3,3,J160644.67-203342.8,1,03,765.6302284853812,867.9795511956261,765.4082064814403,868.4673410359192,iexn03010,iexn03020,712.0,712.0,101.0597,101.0597,146.06255105480136,146.062551053797,good_psf,good_psf
4,4,4,J161434.76-241933.4,1,04,767.2510586467661,867.4739293463211,767.0096004604654,867.9398658633623,iexn04010,iexn04020,712.0,712.0,99.990402,99.990402,144.9939155924111,144.9939155917039,good_psf,good_psf
5,5,5,J162810.30-264024.2,1,05,766.6015071586094,868.2673084530092,766.3367104621713,868.601284337359,iexn05010,iexn05020,716.0,716.0,100.4188,100.4188,145.4226703251259,145.4226703244911,good_psf,good_psf
6,6,6,J160731.61-214654.6,1,06,767.081803622354,866.9018487619849,766.8670539876858,867.1667272890257,iexn06010,iexn06020,712.0,712.0,100.292198,100.292198,145.29528451922954,145.29528451855202,good_psf,good_psf
7,7,7,J155543.75-232028.9,1,07,765.8258332746196,868.6256038995128,765.6089288276715,869.0982380409735,iexn07010,iexn07020,712.0,712.0,100.274902,100.274902,145.27823634364574,145.27823634297218,good_psf,good_psf
8,8,8,J154915.32-244139.1,1,08,765.7409290822399,868.2957239881346,765.6199281009499,868.7617251948229,iexn08010,iexn08020,712.0,712.0,100.098801,100.098801,145.1023670090721,145.10236700837964,good_psf,good_psf
9,9,9,J160918.67-222923.9,1,09,762.7437612634061,866.7277660013153,762.6209486849491,866.7964429835416,iexn09010,iexn09020,712.0,712.0,99.707359,99.707359,144.71059533904622,144.71059533831237,good_psf,good_psf
10,10,10,J160656.33-165644.6,1,10,767.150768585369,866.8068612057561,766.9811612179417,867.1580182661281,iexn10010,iexn10020,712.0,712.0,103.1922,103.1922,148.19440905588033,148.1944090552004,good_psf,good_psf
11,11,11,J161407.56-221152.4,1,11,767.0943862443437,867.9129650821749,766.9851918929876,868.2384037892932,iexn11010,iexn11020,712.0,712.0,99.592377,99.592377,144.5955741655933,144.5955741648572,good_psf,good_psf
12,12,12,J161754.11-232606.1,1,12,766.7479624942483,867.9424058587864,766.494290610453,868.3377629815361,iexn12010,iexn12020,712.0,712.0,100.685204,100.685204,145.68852484435885,145.68852484361653,good_psf,good_psf
13,13,13,J155603.59-221159.0,1,14,766.9820525086994,867.9332697730302,766.7527342315484,868.2932590468247,iexn14010,iexn14020,712.0,712.0,100.9048,100.9048,145.90791193988844,145.9079119391735,good_psf,good_psf
14,14,14,J160425.38-254857.9,1,15,764.9364373036431,869.3918031003884,764.7890895441094,869.8632455917656,iexn15010,iexn15020,712.0,712.0,98.308434,98.308434,143.31232185743278,143.31232185656629,good_psf,good_psf
15,15,15,J160417.92-193623.2,1,16,773.4056832127735,859.5506035078912,773.0007206848085,859.779186304925,iexn16010,iexn16020,712.0,712.0,278.707611,278.707611,-36.29523214969788,-36.295232150441365,good_psf,good_psf
16,16,16,J160539.08-240333.0,1,17,766.645104051283,869.4163024830297,766.465514491214,869.8145524940251,iexn17010,iexn17020,712.0,712.0,99.19178,99.19178,144.1953064614097,144.19530646063086,good_psf,good_psf
17,17,17,J162556.79-211335.4,1,18,767.640851645651,867.3589931620829,767.3453845511705,867.7429258178084,iexn18010,iexn18020,712.0,712.0,99.040123,99.040123,144.04319998896787,144.04319998833853,good_psf,good_psf
18,18,18,J162058.41-213710.6,1,19,769.5644432988654,868.5261749163118,769.2714727839223,868.8492661255407,iexn19010,iexn19020,712.0,712.0,99.947968,99.947968,144.95105092365208,144.9510509228242,good_psf,good_psf
19,19,19,J161634.97-221551.3,1,20,764.2061930316725,866.5396209578671,763.9651178226073,866.8177904306189,iexn20010,iexn20020,712.0,712.0,100.171204,100.171204,145.17437412837467,145.1743741277919,good_psf,good_psf
20,20,20,J163930.29-245413.5,1,21,764.5985881197296,866.8009246371405,764.3862119382745,867.2533742094967,iexn21010,iexn21020,712.0,712.0,97.157494,97.157494,142.16130717527594,142.1613071745797,good_psf,good_psf
21,21,21,J161110.15-214517.1,1,22,766.4964825379524,867.528808164153,766.1378471577588,867.7221154530382,iexn22010,iexn22020,712.0,712.0,102.170998,102.170998,147.17395885021654,147.1739588494301,good_psf,good_psf
22,22,22,J154540.24-242207.2,1,23,763.6654161226758,866.8511377987038,763.5063929045773,867.1401460285949,iexn23010,iexn23020,712.0,712.0,101.0271,101.0271,146.03054530478636,146.0305453039847,good_psf,good_psf
23,23,23,J155836.02-190439.3,1,24,766.6430480766799,867.423539763583,766.3109116120077,867.7452488824089,iexn24010,iexn24020,712.0,712.0,113.837097,113.837097,158.83895234481034,158.83895234441093,good_psf,good_psf
24,24,24,J160412.34-212747.2,1,25,767.2741369575589,868.1808387971042,767.1168891452419,868.6167802928428,iexn25010,iexn25020,712.0,712.0,100.7342,100.7342,145.73720892635072,145.7372089256541,good_psf,good_psf
25,25,25,J160812.99-230431.6,1,26,762.8032988541323,868.3386737105842,762.4960614353321,868.6626209952535,iexn26010,iexn26020,712.0,712.0,99.584999,99.584999,144.5883375879383,144.58833758718777,good_psf,good_psf
26,26,26,J155828.95-253031.9,1,27,766.5062417418966,868.5727555587627,766.2640761389433,868.9157256164447,iexn27010,iexn27020,712.0,712.0,99.428833,99.428833,144.4325841966393,144.43258419591777,good_psf,good_psf
27,27,27,J161345.89-244231.0,1,28,764.8111626112901,867.4688706923231,764.534113646972,867.8619235167661,iexn28010,iexn28020,712.0,712.0,101.486603,101.486603,146.49006859649913,146.49006859590384,good_psf,good_psf
28,28,28,J161352.17-244356.2,1,29,766.1267271015553,866.3793213921639,765.8069525656814,866.7476472260553,iexn29010,iexn29020,712.0,712.0,101.541,101.541,146.54446529361365,146.54446529299037,good_psf,good_psf
29,29,29,J160910.10-193037.6,1,30,765.5240214095317,867.46456292341,766.1620318425737,868.5532282969856,iexn30010,iexn30020,712.0,712.0,101.446198,101.446198,146.44886877166846,146.44886877217513,good_psf,good_psf
30,30,30,J041950.43+282048.5,1,31,764.1250721708811,867.8547255217222,763.8025642719025,868.238112126441,iexn31010,iexn31020,712.0,712.0,54.903099,54.903099,99.89665403357546,99.89665403357546,good_psf,good_psf
31,31,31,J043441.68+222049.1,1,32,781.6496297306905,856.4882629407247,781.0902956261498,856.938301689504,iexn32010,iexn32020,712.0,712.0,256.691406,256.691406,-58.304177423111824,-58.30417742405755,good_psf,good_psf
32,32,32,J043456.60+253944.7,1,33,770.3588091812077,868.9932482317022,770.0800213872403,869.3219163437204,iexn33010,iexn33020,712.0,712.0,90.369278,90.369278,135.36486123061985,135.36486123061985,good_psf,good_psf
33,33,33,J043327.00+243157.2,1,34,768.4537013763428,857.6064520847349,768.1013371384822,857.94104781812,iexn34010,iexn34020,712.0,712.0,271.624512,271.624512,-43.37137308442164,-43.37137308442164,good_psf,good_psf
34,34,34,J043737.07+233107.2,1,35,766.9513129243538,869.8965161469711,766.622197320946,870.2684457780412,iexn35010,iexn35020,712.0,712.0,79.67205,79.67205,124.66749784712856,124.66749784712856,good_psf,good_psf
35,35,35,J041947.39+281534.6,1,36,771.0316817060522,856.1650959694923,770.6021850132822,856.4832512504997,iexn36010,iexn36020,712.0,712.0,272.965912,272.965912,-42.02934210784164,-42.02934210784164,good_psf,good_psf
36,36,36,J043907.77+264236.0,1,38,774.0358027386897,859.6748508680088,773.6191091149831,859.9742536538942,iexn38010,iexn38020,712.0,712.0,240.736298,240.736298,-74.25777135170907,-74.25777135170907,good_psf,good_psf
37,37,37,J042443.77+270453.3,1,44,771.4931098448668,865.638016961866,771.2142464952697,866.0386016246231,iexn44010,iexn44020,712.0,712.0,82.31749,82.31749,127.31228547953945,127.31228547953945,good_psf,good_psf
38,38,38,J043220.41+222953.8,1,45,768.641541997551,872.2913206891603,768.384073801405,872.5843520920929,iexn45010,iexn45020,652.0,652.0,81.530724,81.530724,126.52647249354143,126.52647249246141,good_psf,good_psf
39,39,39,J043149.51+271828.6,1,46,776.487068295533,866.7665881721571,776.4632279874712,867.2338719910788,iexn46010,iexn46020,712.0,712.0,93.677948,93.677948,138.67343867037138,138.67343866944069,good_psf,good_psf
40,40,40,J041514.73+280009.0,1,47,772.5067937913497,856.0723508501486,772.0366420794296,856.3047668834702,iexn47010,iexn47020,712.0,712.0,250.890106,250.890106,-64.10392511932119,-64.10392511932119,good_psf,good_psf
41,41,41,J043241.50+224353.9,1,48,651.3821976076038,1075.3898346110843,958.376222548628,980.2040882338184,iexn48010,iexn48020,564.0,560.0,10.0015,10.0015,54.99768085366442,54.99768085370008,good_target,good_target
42,42,42,J044449.42+252722.6,1,49,771.2989216521684,858.7039338344056,770.8832605610502,859.001255133187,iexn49010,iexn49020,712.0,712.0,269.489685,269.489685,-45.5058862102549,-45.5058862102549,good_psf,good_psf
43,43,43,J044117.10+260527.4,1,39,770.4804065378011,872.7748705186461,770.1079324257835,873.0956692253455,iexn39010,iexn39020,712.0,712.0,89.98172,89.98172,134.97719295601547,134.97719295631748,good_psf,good_psf
44,44,44,J042618.07+243806.8,1,40,770.3957766704759,859.5731482016537,770.0420451444583,859.9014800208627,iexn40010,iexn40020,712.0,712.0,268.765198,268.765198,-46.230492270961165,-46.230492270961165,good_psf,good_psf
45,45,45,J042930.88+264433.3,1,41,771.1589262155708,860.1681776568157,772.1143552319529,861.4453518685999,iexn41010,iexn41020,712.0,712.0,266.266693,266.266693,-48.72841278598152,-48.728412796323056,good_psf,good_psf
46,46,46,J043720.62+242251.2,1,42,773.6720118997772,861.4738487448618,774.0813272157372,861.8154239218825,iexn42010,iexn42020,712.0,712.0,70.007446,70.007446,115.0023279440997,115.0023279440997,good_target,good_target
47,47,47,J041546.22+280811.4,1,43,769.4301238649251,865.8747468978827,769.3724504723261,866.5645929530206,iexn43010,iexn43020,712.0,712.0,64.763077,64.763077,109.75686761061101,109.75686761061101,good_target,good_target
48,48,48,J042631.08+262831.3,1,50,764.805403274221,859.469150849638,764.4660059364961,859.5550253499985,iexn50010,iexn50020,712.0,712.0,269.489288,269.489288,-45.50607841597185,-45.50607841597185,good_target,good_target
49,49,49,J043603.38+222714.7,1,51,760.3914011968682,861.539790192967,642.4947820343489,915.4827368207,iexn51010,iexn51020,712.0,712.0,81.943451,81.943451,126.93922727573593,126.93922727573593,good_target,good_target
50,50,50,J043442.71+225743.0,1,52,769.6364459761807,851.4369131038223,769.1856763350745,851.8407693865058,iexn52010,iexn52020,712.0,712.0,265.60611,265.60611,-49.38974083799877,-49.389740839174365,good_psf,good_psf
51,51,51,J043606.80+242549.5,1,53,769.7572988880644,869.1032410214441,769.5665746289313,869.5028723330719,iexn53010,iexn53020,712.0,712.0,82.571136,82.571136,127.56652491309603,127.56652491190347,good_psf,good_psf
52,52,52,J042705.86+261520.3,1,54,775.9393881669686,859.2868802839291,775.3590326315681,859.6900307648333,iexn54010,iexn54020,712.0,712.0,266.034393,266.034393,-48.9608019022912,-48.9608019022912,good_target,good_target
