target,file,filter,ra,dec,x,y,mag_aper,e_mag_aper,dist,snr
J155150.21-213457.4,iexn13010_drc.fits,F814W,237.9591707009825,-21.582685895526943,766.6820623176243,870.5199619410628,22.2773533090152,0.02125762589275837,1.4167992641089409,227.9321746826172
J164636.12-231337.6,iexn01010_drc.fits,F814W,251.6504980156288,-23.22715502396358,769.100792657608,866.146098726742,20.84098252342405,0.005901049822568893,4.008029378517982,792.4168090820312
J164636.12-231337.6,iexn01020_drc.fits,F850LP,251.65049816199078,-23.227155664637255,768.8708912878399,866.4887916476777,19.749263563132764,0.006931559648364782,3.6176008249464946,600.3964233398438
J155416.68-263018.1,iexn02010_drc.fits,F814W,238.5694232156599,-26.505131228149015,762.4151674138435,869.7983029656978,21.448087315398528,0.010976910591125488,5.588473558051587,411.4393615722656
J155416.68-263018.1,iexn02020_drc.fits,F850LP,238.56942345078235,-26.505131551952015,762.2131419954059,870.1803844243722,20.330280533978126,0.01201913133263588,5.7896687388736945,338.97369384765625
J160644.67-203342.8,iexn03010_drc.fits,F814W,241.68609229570234,-20.561958458050395,765.6302284853812,867.9795511956261,21.493396736589307,0.011935883201658726,3.114166084619584,387.477783203125
J160644.67-203342.8,iexn03020_drc.fits,F850LP,241.68609353813548,-20.56195750925201,765.4082064814403,868.4673410359192,20.318071642962046,0.012069677002727985,3.0110524975538833,357.0408020019531
J161434.76-241933.4,iexn04010_drc.fits,F814W,243.64480424478836,-24.326007804504044,767.2510586467661,867.4739293463211,21.55310831305447,0.011095380410552025,2.6347573129154425,406.73577880859375
J161434.76-241933.4,iexn04020_drc.fits,F850LP,243.64480460116354,-24.326007545827434,767.0096004604654,867.9398658633623,20.29990372759982,0.01132939662784338,2.2858354947043025,361.3282165527344
J162810.30-264024.2,iexn05010_drc.fits,F814W,247.04290079840197,-26.673436687805328,766.6015071586094,868.2673084530092,21.419805158804426,0.010366539470851421,2.226657186105305,451.69464111328125
